name,price,pages,genre
Довга Хода,280,288,Трилери та жахи
Двійник,220,384,Ріццолі та Айлз
Бот. Ґуаякільський парадокс,220,512,Сучасні автори
Що не так з моєю матір’ю,220,304,Трилери та жахи
Керрі,200,224,Фентезі
Біллі Саммерс,300,608,Детективи
Асистент,220,368,Ріццолі та Айлз
Убивчий холод,220,352,Ріццолі та Айлз
Хірург,220,352,Ріццолі та Айлз
Приховані малюнки,250,384,Сучасні автори
Веріті,360,336,Сучасні автори
Темна половина,360,592,Фентезі
Втрачений символ,235,608,Сучасні автори
Я - безодня,230,336,Трилери та жахи
Земля мертвих,230,512,Детективи
Кладовище домашніх тварин,245,400,Фентезі
Комплект з 9 книг Тесс Ґеррітсен за суперціною,1580,135х205,Ріццолі та Айлз
Смертниці,220,336,Ріццолі та Айлз
Клуб «Мефісто»,220,384,Ріццолі та Айлз
Грішна,220,336,Ріццолі та Айлз
